# Parameter type     : 'butterworth'
# Order              : 4
# Filter type        : 'lowpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 25 Hz
# Feedforward parameters : 5 (multiplied with inputs x)
# Feedback parameters : 5 (multiplied with outputs y)
# y[n] = 
#     + (x[n-  0] * 0.0939808514337944)
#     + (x[n-  1] * 0.375923405735178)
#     + (x[n-  2] * 0.563885108602767)
#     + (x[n-  3] * 0.375923405735178)
#     + (x[n-  4] * 0.0939808514337944)
#
#     - (y[n-  1] * -3.67761376907083e-16)
#     - (y[n-  2] * 0.486028822068269)
#     - (y[n-  3] * -5.12552513910411e-17)
#     - (y[n-  4] * 0.0176648008724419)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005         0.999953576666499         -2.35208693727901
 -8        0                         0        0                         0     0.01         0.999813758034783          -4.7058166967251
 -7        0                         0        0                         0    0.015         0.999997134551185          -7.0628382129958
 -6        0                         0        0                         0     0.02         0.999711980928132         -9.42481272399019
 -5        0                         0        0                         0    0.025           0.9988118763916         -11.7934201195739
 -4        0                         0        0                         0     0.03         0.999991965282023         -14.1703655309197
 -3        0                         0        0                         0    0.035         0.999980552543937         -16.5573862475553
 -2        0                         0        0                         0     0.04          0.99790926209447         -18.9562590552445
 -1        0                         0        0                         0    0.045          1.00001055994709         -21.3688080955389
  0      100          9.39808514337944      100          9.39808514337944     0.05         0.994885954508172         -23.7969133573194
  1        0          37.5923405735178      100          46.9904257168972    0.055          1.00010852798637         -26.2425199220136
  2        0          51.8207706083427      100          98.8111963252399     0.06          1.00257723117511         -28.7076480975482
  3        0          19.3213795657817      100          118.132575891022    0.065          1.01195993824293         -31.1944045915571
  4        0         -15.9543182567034      100          102.178257634318     0.07          1.01395262511365         -33.7049948920095
  5        0          -10.054808561651      100          92.1234490726672    0.075          1.00983718341535         -36.2417370432342
  6        0          6.83885491535496      100          98.9623039880222     0.08         0.996965226643912         -38.8070770272043
  7        0          4.54561843873081      100          103.507922426753    0.085          1.00376778937873         -41.4036059836245
  8        0         -3.04205074374554      100          100.465871683007     0.09          1.00882939233123         -44.0340795272883
  9        0         -2.03168538429605      100          98.4341862987114    0.095          1.01079114138955         -46.7014394463475
 10        0          1.35771732937928      100          99.7919036280907      0.1          1.00803209266903         -49.4088380889891
 11        0         0.907160209580449      100          100.699063837671    0.105          1.00526789020406         -52.1596657659936
 12        0        -0.606152533667759      100          100.092911304003     0.11         0.999719272143345         -54.9575815088914
 13        0         -0.40501669034055      100          99.6878946136628    0.115         0.999785808785456         -57.8065475221102
 14        0         0.270623795667689      100          99.9585184093305     0.12          0.99627373614399         -60.7108676439811
 15        0         0.180824980462565      100          100.139343389793    0.125         0.960374414971844         -63.6752300731437
 16        0        -0.120823400826444      100          100.018519988967     0.13          1.00710934738914         -66.7047545055495
 17        0       -0.0807316130698572      100          99.9377883758968    0.135          1.01419142853556         -69.8050436369121
 18        0        0.0539431397201448      100          99.9917315156169     0.14           1.0069221361922         -72.9822386794076
 19        0        0.0360436535313796      100          100.027775169148    0.145         0.998511447414881         -76.2430780686576
 20        0       -0.0240835993405157      100          100.003691569808     0.15         0.988983326314533         -79.5949578276724
 21        0       -0.0160921465999032      100          99.9875994232079    0.155          0.99699252576025         -83.0459910149698
 22        0        0.0107524285970443      100          99.9983518518049     0.16         0.993883225673534          -86.605062192963
 23        0       0.00718454309415375      100          100.005536394899    0.165          1.00348945798452         -90.2818707586392
 24        0      -0.00480055821875273      100           100.00073583668     0.17          1.00087228958865         -94.0869541057356
 25        0      -0.00320763045185284      100          99.9975282062285    0.175         0.990098101418543         -98.0316777555578
 26        0        0.0021432701462686      100          99.9996714763747     0.18         0.986323593363267         -102.128174664614
 27        0       0.00143208732702664      100          100.001103563702    0.185         0.987157270136398         -106.389209891706
 28        0     -0.000956890159554185      100          100.000146673542     0.19         0.977908657575623          -110.82793999342
 29        0     -0.000639373563449295      100          99.9995072999787    0.195         0.971492940084036         -115.457529804429
 30        0      0.000427215756747155      100          99.9999345157355      0.2         0.898930247011248         -120.290584504389
 31        0      0.000285456442440979      100          100.000219972178    0.205         0.953000212713054         -125.338355348015
 32        0       -0.0001907358968955      100          100.000029236281     0.21         0.940135448127027         -130.609688140959
 33        0     -0.000127445651789953      100          99.9999017906293    0.215         0.924546599228184         -136.109710956419
 34        0      8.51564620217466e-05      100          99.9999869470913     0.22         0.905304273518314         -141.838308090732
 35        0       5.6899728803718e-05      100           100.00004384682    0.225         0.880874703126307         -147.788503443975
 36        0     -3.80191832900452e-05      100          100.000005827637     0.23         0.855838048083911         -153.944971178398
 37        0      -2.5403606105547e-05      100          99.9999804240307    0.235         0.824795744265807         -160.282981243822
 38        0      1.69741469258425e-05      100          99.9999973981776     0.24         0.787683882463875         -166.768131009018
 39        0      1.13417623727517e-05      100           100.00000873994    0.245         0.749973453216225         -173.357163628026
 40        0     -7.57832333382944e-06      100          100.000001161617     0.25         0.707106781186583                       180
 41        0     -5.06367376291028e-06      100          99.9999960979429    0.255         0.661396446842718          173.357163628026
 42        0      3.38343863776902e-06      100          99.9999994813815     0.26         0.613325950543158          166.768131009018
 43        0      2.26074142046807e-06      100          100.000001742123    0.265         0.565471541123804          160.282981243822
 44        0     -1.51057912301607e-06      100          100.000000231544     0.27         0.517891932947078          153.944971178398
 45        0     -1.00933670088623e-06      100          99.9999992222071    0.275         0.470660899607843          147.788503443975
 46        0      6.74417222000104e-07      100          99.9999998966243     0.28         0.427349461951489          141.838308090732
 47        0      4.50631180785356e-07      100          100.000000347256    0.285         0.388646865645067          136.109710956419
 48        0     -3.01102128581118e-07      100          100.000000046153     0.29         0.355150031542933          130.609688140959
 49        0     -2.01190010149937e-07      100          99.9999998449634    0.295         0.321841699399326          125.338355348015
 50        0      1.34430866944952e-07      100          99.9999999793942      0.3          0.30426307564158          120.290584504389
 51        0      8.98238335695905e-08      100          100.000000069218    0.305         0.283952202307894          115.457529804429
 52        0     -6.00183667672175e-08      100            100.0000000092     0.31         0.263273682244328           110.82793999342
 53        0     -4.01029905566612e-08      100          99.9999999690967    0.315         0.255237384346773          106.389209891706
 54        0      2.67959616066398e-08      100          99.9999999958927     0.32         0.246682582285521          102.128174664614
 55        0      1.79044891280628e-08      100          100.000000013797    0.325         0.237714232600916          98.0316777555578
 56        0     -1.19633971582296e-08      100          100.000000001834     0.33         0.228432120552911          94.0869541057355
 57        0     -7.99368641807366e-09      100          99.9999999938401    0.335         0.218929984928586          90.2818707586391
 58        0      5.34121050278233e-09      100          99.9999999991813     0.34         0.209294786952539          86.6050621929629
 59        0      3.56888275858944e-09      100           100.00000000275    0.345         0.199606126629104          83.0459910149699
 60        0      -2.3846512205279e-09      100          100.000000000366     0.35         0.189935807331991          79.5949578276724
 61        0     -1.59337300444497e-09      100          99.9999999987722    0.355         0.180347547011312          76.2430780686576
 62        0      1.06465780380739e-09      100          99.9999999998368     0.36         0.170896832048665          72.9822386794076
 63        0      7.11381601198193e-10      100          100.000000000548    0.365          0.16163090759458          69.8050436369121
 64        0     -4.75329989329446e-10      100          100.000000000073     0.37         0.152588896202613          66.7047545055494
 65        0     -3.17605344832352e-10      100          99.9999999997553    0.375         0.143802034760599          63.6752300731437
 66        0      2.12217106705965e-10      100          99.9999999999675     0.38         0.135294018138099          60.7108676439812
 67        0       1.4179893730197e-10      100          100.000000000109    0.385         0.127081436641572          57.8065475221102
 68        0     -9.47470207848316e-11      100          100.000000000015     0.39          0.11917429331221          54.9575815088914
 69        0     -6.33079352949221e-11      100          99.9999999999512    0.395         0.111576586327949          52.1596657659935
 70        0      4.23010099748429e-11      100          99.9999999999935      0.4         0.104286941287938           49.408838088989
 71        0       2.8264631227602e-11      100          100.000000000022    0.405        0.0972992779667733          46.7014394463474
 72        0     -1.88858227949498e-11      100          100.000000000003     0.41        0.0906034962240886          44.0340795272884
 73        0     -1.26191033511152e-11      100          99.9999999999903    0.415        0.0841861661345588          41.4036059836245
 74        0      8.43181528891076e-12      100          99.9999999999987     0.42        0.0780312080513116           38.807077027204
 75        0      5.63395885493169e-12      100          100.000000000004    0.425        0.0721205492148241          36.2417370432341
 76        0     -3.76449095378151e-12      100          100.000000000001     0.43        0.0664347446481773          33.7049948920097
 77        0     -2.51535243795733e-12      100          99.9999999999981    0.435        0.0609535514127699           31.194404591557
 78        0      1.68070476588126e-12      100          99.9999999999997     0.44        0.0556564468077906          28.7076480975484
 79        0      1.12301102121105e-12      100          100.000000000001    0.445        0.0505230827505298           26.242519922015
 80        0     -7.50371974521137e-13      100                       100     0.45        0.0455336703395053            23.79691335732
 81        0     -5.01382523868365e-13      100          99.9999999999996    0.455          0.04066929044318          21.3688080955386
 82        0      3.35013091874893e-13      100                       100     0.46        0.0359121280376424           18.956259055245
 83        0      2.23848591414106e-13      100                       100    0.465        0.0312456299004579          16.5573862475504
 84        0     -1.49570846911226e-13      100                       100     0.47        0.0266545871187569          14.1703655309271
 85        0     -9.99400447615825e-14      100          99.9999999999999    0.475        0.0221251456521485           11.793420119568
 86        0      6.67778029823856e-14      100                       100     0.48        0.0176447498714309          9.42481272398415
 87        0      4.46195014400153e-14      100                       100    0.485        0.0132020255405892          7.06283821298728
 88        0     -2.98137976968265e-14      100                       100     0.49       0.00878661009316754          4.70581669679671
 89        0     -1.99209427362678e-14      100                       100    0.495       0.00438893924888524          2.35208693845337
 90        0      1.33107483835873e-14      100                       100      0.5      1.93806469394266e-13      1.68393154937265e-14
